category_code,status,founded_at,first_investment_at,last_investment_at,investment_rounds,first_funding_at,last_funding_at,funding_rounds,funding_total_usd,first_milestone_at,last_milestone_at,milestones,relationships,lat,lng,country_CAN,country_DEU,country_ESP,country_FRA,country_GBR,country_IND,country_IRL,country_ISR,country_SWE,country_USA,country_other,isClosed,active_days,Operating_Status
games_video,operating,2008,,,15.679245283018869,2013.0,2013.0,2.0,9197854.0,2012.0,2013.0,2.0,7.0,40.2338438,-111.6585337,False,False,False,False,False,False,False,False,False,True,False,1,4745,Operating
software,operating,2008,,,15.679245283018869,2009.0,2010.0,2.0,6700000.0,2009.0,2012.0,3.0,7.0,37.7749295,-122.4194155,False,False,False,False,False,False,False,False,False,True,False,1,4745,Operating
software,operating,2007,,,15.679245283018869,2011.0,2011.0,1.0,700000.0,2008.0,2011.0,3.0,11.0,37.7749295,-122.4194155,False,False,False,False,False,False,False,False,False,True,False,1,5110,Operating
ecommerce,operating,2008,,,15.679245283018869,2008.0,2008.0,1.0,1000000.0,2010.465220643231,2011.1261530790327,1.5784093742208924,1.0,37.7749295,-122.4194155,False,False,False,False,False,False,False,False,False,True,False,1,4745,Operating
social,operating,2005,,,15.679245283018869,2008.0,2012.0,2.0,600000.0,2010.465220643231,2011.1261530790327,1.5784093742208924,1.0,43.9140162,-69.966996,False,False,False,False,False,False,False,False,False,True,False,1,5840,Operating
advertising,operating,2006,,,15.679245283018869,2008.0,2012.0,2.0,5000000.0,2012.0,2013.0,2.0,5.0,37.566535,126.9779692,False,False,False,False,False,False,False,False,False,False,True,1,5475,Operating
mobile,operating,2006,,,15.679245283018869,2007.0,2008.0,2.0,1700000.0,2010.465220643231,2011.1261530790327,1.5784093742208924,3.0,37.3382082,-121.8863286,False,False,False,False,False,False,False,False,False,True,False,1,5475,Operating
software,operating,2005,,,15.679245283018869,2006.0,2006.0,1.0,1800000.0,2008.0,2009.0,2.0,5.0,42.492786,-92.3425775,True,False,False,False,False,False,False,False,False,False,False,1,5840,Operating
software,operating,2004,,,15.679245283018869,2005.0,2005.0,1.0,2000000.0,2010.465220643231,2011.1261530790327,1.5784093742208924,6.0,39.061251154663864,-64.43542384120448,False,False,False,False,False,False,True,False,False,False,False,1,6205,Operating
messaging,operating,2011,,,15.679245283018869,2011.0,2013.0,2.0,6080000.0,2013.0,2013.0,1.0,7.0,37.3860517,-122.0838511,False,False,False,False,False,False,False,False,False,True,False,1,3650,Operating
games_video,operating,2006,,,15.679245283018869,2008.0,2008.0,1.0,8300000.0,2008.0,2009.0,3.0,4.0,37.5629917,-122.3255254,False,False,False,False,False,False,False,False,False,True,False,1,5475,Operating
web,operating,2008,,,15.679245283018869,2009.0,2009.0,1.0,1000000.0,2009.0,2012.0,2.0,9.0,33.8847361,-118.4109089,False,False,False,False,False,False,False,False,False,True,False,1,4745,Operating
web,operating,2008,,,15.679245283018869,2008.0,2009.0,2.0,2000000.0,2010.0,2011.0,2.0,4.0,30.3321838,-81.655651,False,False,False,False,False,False,False,False,False,True,False,1,4745,Operating
other,operating,1999,,,15.679245283018869,2010.6544037199126,2011.108725382932,1.0,1000000.0,2010.465220643231,2011.1261530790327,1.5784093742208924,1.0,39.061251154663864,-64.43542384120448,False,False,False,False,False,False,False,False,False,True,False,1,8030,Operating
consulting,operating,2006,,,15.679245283018869,2011.0,2011.0,2.0,11000000.0,2011.0,2011.0,1.0,12.0,38.9787544,-94.5673493,False,False,False,False,False,False,False,False,False,True,False,1,5475,Operating
mobile,operating,2010,,,15.679245283018869,2012.0,2012.0,1.0,4300000.0,2011.0,2012.0,2.0,4.752173199934394,40.7127753,-74.0059728,False,False,False,False,False,False,False,False,False,True,False,1,4015,Operating
enterprise,operating,2001,,,15.679245283018869,2007.0,2012.0,2.0,10000000.0,2011.0,2013.0,4.0,7.0,35.2827524,-120.6596156,False,False,False,False,False,False,False,False,False,True,False,1,7300,Operating
social,operating,2011,,,15.679245283018869,2011.0,2011.0,1.0,1000000.0,2010.0,2010.0,1.0,2.0,34.0194543,-118.4911912,False,False,False,False,False,False,False,False,False,True,False,1,3650,Operating
biotech,operating,2010,,,15.679245283018869,2011.0,2011.0,1.0,7000000.0,2010.465220643231,2011.1261530790327,1.5784093742208924,4.752173199934394,33.6845673,-117.8265049,False,False,False,False,False,False,False,False,False,True,False,1,4015,Operating
games_video,operating,2008,,,15.679245283018869,2008.0,2008.0,1.0,6000000.0,2008.0,2009.0,2.0,2.0,37.7749295,-122.4194155,False,False,False,False,False,False,False,False,False,True,False,1,4745,Operating
education,operating,2008,,,15.679245283018869,2008.0,2011.0,2.0,2000000.0,2010.465220643231,2011.1261530790327,1.5784093742208924,21.0,40.7127753,-74.0059728,False,False,False,False,False,False,False,False,False,True,False,1,4745,Operating
software,operating,2006,,,15.679245283018869,2007.0,2007.0,1.0,5500000.0,2007.0,2007.0,1.0,6.0,37.7749295,-122.4194155,False,False,False,False,False,False,False,False,False,True,False,1,5475,Operating
news,operating,2011,,,15.679245283018869,2012.0,2013.0,2.0,1100000.0,2011.0,2013.0,3.0,2.0,53.3498053,-6.2603097,False,False,False,False,False,False,True,False,False,False,False,1,3650,Operating
enterprise,operating,2010,,,15.679245283018869,2010.0,2010.0,1.0,512000.0,2010.0,2010.0,1.0,3.0,48.856614,2.3522219,False,False,False,True,False,False,False,False,False,False,False,1,4015,Operating
hardware,operating,2006,,,15.679245283018869,2010.0,2010.0,1.0,1500000.0,2011.0,2011.0,1.0,5.0,44.9211836,-93.4687489,False,False,False,False,False,False,False,False,False,True,False,1,5475,Operating
hardware,ipo,1989,,,15.679245283018869,2012.0,2012.0,1.0,4500000.0,2009.0,2010.0,2.0,8.0,33.6845673,-117.8265049,False,False,False,False,False,False,False,False,False,True,False,1,11680,Operating
music,operating,2010,,,15.679245283018869,2007.0,2011.0,2.0,6600000.0,2012.0,2013.0,2.0,30.0,46.2043907,6.1431577,False,False,False,False,False,False,False,False,False,False,True,1,4015,Operating
web,operating,2005,,,15.679245283018869,2008.0,2011.0,2.0,4180000.0,2008.0,2008.0,1.0,2.0,52.205337,0.121817,False,False,False,False,False,False,False,False,False,True,False,1,5840,Operating
ecommerce,operating,2009,,,15.679245283018869,2009.0,2009.0,1.0,1170000.0,2010.0,2012.0,2.0,2.0,40.0583238,-74.4056612,False,False,False,False,False,False,False,False,False,True,False,1,4380,Operating
nonprofit,operating,2009,,,15.679245283018869,2010.0,2012.0,2.0,7900000.0,2012.0,2013.0,2.0,12.0,37.7749295,-122.4194155,False,False,False,False,False,False,False,False,False,True,False,1,4380,Operating
software,operating,2004,,,15.679245283018869,2012.0,2012.0,1.0,5000000.0,2009.0,2009.0,1.0,4.0,33.6845673,-117.8265049,False,False,False,False,False,False,False,False,False,True,False,1,6205,Operating
games_video,operating,2007,,,15.679245283018869,2010.0,2011.0,2.0,7100000.0,2011.0,2012.0,2.0,20.0,37.7749295,-122.4194155,False,False,False,False,False,False,False,False,False,True,False,1,5110,Operating
web,operating,1999,,,15.679245283018869,2000.0,2000.0,1.0,1000000.0,2010.465220643231,2011.1261530790327,1.5784093742208924,7.0,-34.6036844,-58.3815591,False,False,False,False,False,False,False,False,False,False,True,1,8030,Operating
software,operating,2011,,,15.679245283018869,2011.0,2013.0,2.0,9000000.0,2012.0,2013.0,2.0,5.0,36.1699412,-115.1398296,False,False,False,False,False,False,False,False,False,True,False,1,3650,Operating
security,operating,2007,2012-11-05,2012-11-05,1.0,2012.0,2012.0,1.0,4300000.0,2011.0,2013.0,2.0,7.0,46.2043907,6.1431577,False,False,False,False,False,False,False,False,False,False,True,1,5110,Operating
enterprise,operating,2011,,,15.679245283018869,2011.0,2012.0,2.0,1175000.0,2013.0,2013.0,3.0,13.0,47.6768927,-122.2059833,False,False,False,False,False,False,False,False,False,True,False,1,3650,Operating
mobile,operating,2008,,,15.679245283018869,2008.0,2008.0,1.0,700000.0,2010.0,2010.0,2.0,3.0,32.7766642,-96.7969879,False,False,False,False,False,False,False,False,False,True,False,1,4745,Operating
hardware,operating,2002,,,15.679245283018869,2002.0,2004.0,2.0,2500000.0,2002.0,2002.0,1.0,1.0,37.4418834,-122.1430195,False,False,False,False,False,False,False,False,False,True,False,1,6935,Operating
search,operating,2008,,,15.679245283018869,2011.0,2011.0,2.0,5999999.0,2011.0,2013.0,3.0,4.0,40.0419021,-75.4876445,False,False,False,False,False,False,False,False,False,True,False,1,4745,Operating
games_video,operating,2006,,,15.679245283018869,2010.6544037199126,2011.108725382932,1.0,1000000.0,2008.0,2010.0,2.0,6.0,40.1164204,-88.2433829,False,False,False,False,False,False,False,False,False,True,False,1,5475,Operating
analytics,operating,2011,,,15.679245283018869,2012.0,2013.0,2.0,8700000.0,2012.0,2013.0,3.0,11.0,37.7749295,-122.4194155,False,False,False,False,False,False,False,False,False,True,False,1,3650,Operating
health,operating,2008,,,15.679245283018869,2011.0,2011.0,2.0,522000.0,2013.0,2013.0,1.0,3.0,40.3439888,-74.6514481,False,False,False,False,False,False,False,False,False,True,False,1,4745,Operating
software,operating,1999,,,15.679245283018869,2006.0,2011.0,2.0,11220000.0,2010.0,2012.0,3.0,6.0,48.869798,2.219033,False,False,False,True,False,False,False,False,False,False,False,1,8030,Operating
legal,operating,2011,,,15.679245283018869,2012.0,2013.0,2.0,7500000.0,2013.0,2013.0,1.0,23.0,37.3382082,-121.8863286,False,False,False,False,False,False,False,False,False,True,False,1,3650,Operating
